COUNTA de Cubierta,,Cubierta,TM,,,,
,,Vacante,,,,Total Vacante,Suma total
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,2022,TM,TN,TT,TV,,
Colegio Nº 01 DE 03 Bernardino Rivadavia,2023,,,1,,1,1
Total Colegio Nº 01 DE 03 Bernardino Rivadavia,,,,1,,1,1
Colegio Nº 15 DE 02 Revolución de Mayo,2023,,,,1,1,1
Total Colegio Nº 15 DE 02 Revolución de Mayo,,,,,1,1,1
Comercio Nº 01 DE 04 Joaquín V. Gonzalez,2022,1,,1,,2,2
Total Comercio Nº 01 DE 04 Joaquín V. Gonzalez,,1,,1,,2,2
Total Comercio Nº 06 DE 13 América,,,,1,,1,1
Total Comercio Nº 19 DE 08 Juan Montalvo,,1,,,,1,1
"Comercio Nº 25 DE 2 ""Santiago de Liniers""",2020,,1,,,1,1
"Total Comercio Nº 25 DE 2 ""Santiago de Liniers""",,,1,,,1,1
Total EEM Nº 05 DE 15,,,,1,,1,1
Total EEM Nº 07 DE 09 María Claudia Falcone,,1,,,,1,1
"ENS Nº 01 ""Pte. Roque Saenz Peña""",2018,1,,,,1,1
"Total ENS Nº 01 ""Pte. Roque Saenz Peña""",,1,,,,1,1
"ENS Nº 03 ""Bernadino Rivadavia""",2019,1,,,,1,1
"Total ENS Nº 03 ""Bernadino Rivadavia""",,1,,,,1,1
Total ENS Nº 05 «Gral. Don Martín Miguel de Güemes»,,1,,,,1,1
Total Esc. de Comercio Nº 11 DE 17 Dr. José Peralta,,,,,1,1,1
Total Esc. de Comercio Nº 27 DE 04 Antártida Argentina,,,,,1,1,1
Esc. de Educación Media Nº 02 DE 14,2023,1,,1,,2,2
Total Esc. de Educación Media Nº 02 DE 14,,1,,1,,2,2
Total Esc. de Educacion Media Nº 02 DE 16,,1,,1,,2,2
Total Esc. de Educacion Media Nº 06 DE 01 Padre Carlos Mugica,,1,,,,1,1
Esc. Técnica Nº 06 DE 12 Fernando Fader,2023,,,1,,1,1
Total Esc. Técnica Nº 06 DE 12 Fernando Fader,,,,1,,1,1
Total Esc. Técnica Nº 15 DE 05 Maipu,,1,,,,1,1
"Escuela de Comercio Nº 17 DE 7 ""Santa María de los Buenos Aires""",2020,1,,,,1,1
"Total Escuela de Comercio Nº 17 DE 7 ""Santa María de los Buenos Aires""",,1,,,,1,1
ESEA Manuel Belgrano DE 4,2021,1,,1,,2,2
Total ESEA Manuel Belgrano DE 4,,1,,1,,2,2
ET Nº 04 DE 05 República del Líbano,2020,1,,1,,2,2
Total ET Nº 04 DE 05 República del Líbano,,1,,1,,2,2
"Total ET Nº 05 Maria de los Remedios de Escalada de San Martin
",,,1,,,1,1
Total ET Nº 10 DE 5 Fray Luis Beltrán,,1,1,1,,3,3
Total ET Nº 14 DE 05 Libertad,,,1,,,1,1
Total ET Nº 19 Alejandro Volta,,,1,,,1,1
ET Nº 23 DE 13 Casal Calviño,2019,,1,,,1,1
Total ET Nº 23 DE 13 Casal Calviño,,,1,,,1,1
Total ET Nº 25 DE 06 Tte. 1º de Artillería Fray Luis Beltrán,,,1,,,1,1
Total ET Nº 30 Dr. Norberto Piñero,,1,,,,1,1
"Liceo Nº 01 DE 2 ""José Figueroa Alcorta""",2019,1,,1,,2,2
"Total Liceo Nº 01 DE 2 ""José Figueroa Alcorta""",,1,,1,,2,2
Total Liceo Nº 08 DE 13 Esteban Echeverria,,1,,,,1,1
Suma total,,17,7,11,3,38,38
